id,title,authors,publishedDate,categories,description,averageRating,ratingsCount,source_query
5ntnDwAAQBAJ,The Scarred Woman,Jussi Adler-Olsen,2018-09-04,Fiction,"INSPIRATION FOR THE NETFLIX SERIES DEPT. Q The New York Times and #1 internationally bestselling author of The Keeper of Lost Causes delivers his most captivating and suspenseful Department Q novel yet—perfect for fans of Stieg Larsson. Detective Carl Mørck of Department Q, Copenhagen's cold cases division, meets his toughest challenge yet when the dark, troubled past of one of his own team members collides with a sinister unsolved murder. In a Copenhagen park the body of an elderly woman is discovered. The case bears a striking resemblance to another unsolved homicide investigation from over a decade ago, but the connection between the two victims confounds the police. Across town a group of young women are being hunted. The attacks seem random, but could these brutal acts of violence be related? Detective Carl Mørck of Department Q is charged with solving the mystery. Back at headquarters, Carl and his team are under pressure to deliver results: failure to meet his superiors’ expectations will mean the end of Department Q. Solving the case, however, is not their only concern. After an earlier breakdown, their colleague Rose is still struggling to deal with the reemergence of her past—a past in which a terrible crime may have been committed. It is up to Carl, Assad, and Gordon to uncover the dark and violent truth at the heart of Rose’s childhood before it is too late.",,,subject:fiction
PU_Z0-3Lu28C,Last of the Texas Camp,Stephen A. Bly,2007-06,Fiction,"""Dacee June Fortune's mother died when she was eight, and for the next 23 years she stood at her father's side. Even after her strength, her protection, and her idol. Now, Daddy is dying.""--Back cover.",,,subject:fiction
OhVpsEv9BFoC,The Scarlet Letter,Nathaniel Hawthorne,1989-08-15,Fiction,"Tor Classics are affordably-priced editions designed to attract the young reader. Original dynamic cover art enthusiastically represents the excitement of each story. Appropriate ""reader friendly"" type sizes have been chosen for each title—offering clear, accurate, and readable text. All editions are complete and unabridged, and feature Introductions and Afterwords. This edition of The Scarlet Letter includes a Preface, Biographical Note, and Afterword by Keith Neilson. The Puritans thought Hester Prynne's crime was unforgivable. She was convicted, imprisoned--and then forced to wear, forever, a public reminder of her sin. The Scarlet letter. The Letter was unending punishment: it set hester apart from society, it tormented her days and haunted her soul. But the Letter haunted others, as well, its mystery turned Roger Chillingworth from a gentle healer into a man driven by revenge. Its meaning burned into Rev. Arthur Dimsdale's heart, as deadly as cancer. And its power loomed over the life of Hester's daughter, the uncontrollable child Pearl. Four people would be destroyed by a entangled web of guilt and secrets, unless one of them had the courage--and love--to reveal the truth of--The Scarlet Letter.",,,subject:fiction
L88qEAAAQBAJ,SHERLOCK HOLMES - THE VALLEY OF FEAR,ARTHUR CONAN DOYLE,,Fiction,"SHERLOCK HOLMES – THE VALLEY OF FEAR, is the 4th and final novel written by Arthur Conan Doyle. This book is complete, unabridged and was originally published in 1915. This is one of Doyle’s most outstanding and well-known works of the adventures of the most famous crime-solving duo - Sherlock Holmes and John Watson This book is properly formatted for aesthetics and ease of reading. This book is great for teachers and students or for the casual reader. This book is the perfect addition to any classic literary library. At Pure Snow Publishing we have taken the time and care into formatting this book to make it the best possible reading experience. Key features of this book: - A biographical outline of the author - A custom list of related collections and novels written by the author (listed in order of initial publication) - Easy-to-read font size: 12 pt. - Indented first lines, 1.25 Line Spacing and Justified Paragraphs - Custom Table of Contents and Design elements for each chapter - The Copyright page has been placed at the end of the book, as to not impede the content and flow of the book. We have made this book available in 3 reading formats: Original Paperback, Large Print Paperback and Ebook. Enjoy!",,,subject:fiction
5NLODgAAQBAJ,Shirley,Charlotte Brontë,2015-12-01,Fiction,"Charlotte Brontë followed up the very successful publication of Jane Eyre with Shirley, a social chronicle of England during the Napoleonic wars and Luddite revolts of 1811-12. The novel contrasts two very different characters: Caroline Helstone and Shirley Keeldar; one is trapped in a life devoid of privilege, the other set free by sudden wealth. Sayre Street Books offers the world's greatest literature in easy to navigate, beautifully designed digital editions.",,,subject:fiction
vp4uDwAAQBAJ,Al faro,Virginia Woolf,2017-09-07,Fiction,"Movida por la inquietud de explorar el análisis de la conciencia en busca de una realidad más auténtica y esencial, Virginia Woolf (1882-1941) encontró en la amalgama de sentimientos, pensamientos y emociones que es la subjetividad el material idóneo para alumbrar una de las obras que sin duda más han contribuido a forjar la sensibilidad contemporánea. Basada en los recuerdos infantiles de los veranos que la autora pasó en la costa de Cornualles y centrada en la figura de una mujer, la señora Ramsay, ""Al faro"" (1927) gira en torno al tema de la inexorabilidad del paso del tiempo y a la contraposición entre el orden y el caos. Traducción de José Luis López Muñoz",,,subject:fiction
UGUahZnpa0MC,The Visitor,Lee Child,2001,Fiction,"""Sergeant Amy Callan and Lieutenant Caroline Cook have a lot in common. Both were army high-flyers. Both were acquainted with Jack Reacher. Both were forced to resign from the service. Now they're both dead. Both were found in their own home, naked, in a bath full of paint. Both apparent victims of an army man. A loner, a smart guy with a score to settle, a ruthless vigilante. A man just like Jack Reacher.""--Cover.",,,subject:fiction
6uPBhEIKP7kC,"I, Tituba, Black Witch of Salem",Maryse Condé,1994,Fiction,"Blending the fictional with the factual, this highly praised novel ranges from the warm shores of seventeenth-century Barbados to the harsh realities of the slave trade, and the cold customs of Puritanical New England. It tells the story of Tituba, the only Black victim of the Salem witch trials and in doing so recalls a life of extraordinary experiences and mystical powers. Foreword by Angela Davis. Winner of France's prestigious Grand Prix Literaire de la Femme.",4.0,1.0,subject:fiction
QJLK0AEACAAJ,On The Road,Jack Kerouac,1976-12-28,Fiction,"On September 5, 1957, Jack Kerouac?s novel On The Road was published. Since then, few books have had as profound an impact on American culture. Pulsating with the rhythms of late-1940s/1950s underground America, jazz, sex, illicit drugs, and the mystery and promise of the open road, Kerouac?s classic novel of freedom and longing defined what it meant to be?Beat? and has inspired generations of writers, musicians, artists, poets and seekers who cite their discovery of the book as the event that?set them free.? Based on Kerouac?s adventures with Neal Cassady, On The Road tells the story of two friends whose four cross-country road trips are a quest for meaning and true experience. Expressing a mixture of sad-eyed naïveté and wild abandon, and imbued with Kerouac?s love of America, his compassion for humanity, and his sense of language as jazz, On The Road is the quintessential American vision of freedom and hope. It changed American literature and changed anyone who has ever picked it up.",,,subject:fiction
P3uXugEACAAJ,Little Women,Louisa May Alcott,2018-08-11,,"Little Women By Louisa May Alcott Generations of readers young and old, male and female, have fallen in love with the March sisters of Louisa May Alcott's most popular and enduring novel, Little Women. Here are talented tomboy and author-to-be Jo, tragically frail Beth, beautiful Meg, and romantic, spoiled Amy, united in their devotion to each other and their struggles to survive in New England during the Civil War. It is no secret that Alcott based Little Women on her own early life. While her father, the freethinking reformer and abolitionist Bronson Alcott, hobnobbed with such eminent male authors as Emerson, Thoreau, and Hawthorne, Louisa supported herself and her sisters with woman's work,"" including sewing, doing laundry, and acting as a domestic servant. But she soon discovered she could make more money writing. Little Women brought her lasting fame and fortune, and far from being the girl's book"" her publisher requested, it explores such timeless themes as love and death, war and peace, the conflict between personal ambition and family responsibilities, and the clash of cultures between Europe and America. We are delighted to publish this classic book as part of our extensive Classic Library collection. Many of the books in our collection have been out of print for decades, and therefore have not been accessible to the general public. The aim of our publishing program is to facilitate rapid access to this vast reservoir of literature, and our view is that this is a significant literary work, which deserves to be brought back into print after many decades. The contents of the vast majority of titles in the Classic Library have been scanned from the original works. To ensure a high quality product, each title has been meticulously hand curated by our staff. Our philosophy has been guided by a desire to provide the reader with a book that is as close as possible to ownership of the original work. We hope that you will enjoy this wonderful classic work, and that for you it becomes an enriching experience.",,,subject:fiction
